filename,asin,width,height,megapixels,min_dimension,aspect_ratio,brightness_mean,brightness_status,contrast_std,contrast_status,sharpness_laplacian_var,blur_flag,resolution_status,resolution_score,brightness_score,contrast_score,sharpness_score,overall_quality_score,quality_status,recommendations
B0002DIUVQ_img05.jpg,B0002DIUVQ,115,115,0.013,115,1.0,172.45,Acceptable,91.31,Acceptable,25452.83,No,Low Resolution,0.0,100.0,96.71,100.0,74.34,Review,Increase image resolution
B0002DIUVQ_img06.jpg,B0002DIUVQ,345,345,0.119,345,1.0,171.76,Acceptable,87.96,Acceptable,8784.81,No,Low Resolution,27.88,100.0,100.0,100.0,81.97,Pass,Increase image resolution
B0002I9OIE_img01.jpg,B0002I9OIE,399,1500,0.599,399,0.266,197.49,Acceptable,53.98,Acceptable,1203.95,No,Low Resolution,37.33,100.0,100.0,100.0,84.33,Pass,Increase image resolution
B0002I9OIE_img02.jpg,B0002I9OIE,399,1500,0.599,399,0.266,208.27,Acceptable,40.92,Acceptable,2020.28,No,Low Resolution,37.33,100.0,100.0,100.0,84.33,Pass,Increase image resolution
B0002I9OIE_img03.jpg,B0002I9OIE,405,1500,0.608,405,0.27,167.35,Acceptable,64.69,Acceptable,2054.64,No,Low Resolution,38.38,100.0,100.0,100.0,84.59,Pass,Increase image resolution
B0002I9OIE_img04.jpg,B0002I9OIE,1000,1000,1.0,1000,1.0,154.75,Acceptable,65.55,Acceptable,26.13,Yes,High Resolution,100.0,100.0,100.0,0.0,70.0,Review,Retake or sharpen image
B0002I9OIE_img05.jpg,B0002I9OIE,1000,1000,1.0,1000,1.0,158.56,Acceptable,94.77,Acceptable,114.52,No,High Resolution,100.0,100.0,88.07,41.42,80.04,Pass,No major issue detected
B0002I9OIE_img06.jpg,B0002I9OIE,1100,1000,1.1,1000,1.1,111.42,Acceptable,82.94,Acceptable,485.9,No,High Resolution,100.0,100.0,100.0,92.52,97.76,Pass,No major issue detected
B001GY0NPG_img01.jpg,B001GY0NPG,354,354,0.125,354,1.0,143.49,Acceptable,56.75,Acceptable,452.55,No,Low Resolution,29.45,100.0,100.0,90.0,79.36,Review,Increase image resolution
B001GY0NPG_img02.jpg,B001GY0NPG,354,354,0.125,354,1.0,89.61,Too Dark,57.61,Acceptable,1879.93,No,Low Resolution,29.45,68.63,100.0,100.0,74.52,Review,Increase image resolution; Improve lighting
B001GY0NPG_img03.jpg,B001GY0NPG,354,354,0.125,354,1.0,63.59,Too Dark,51.26,Acceptable,2232.77,No,Low Resolution,29.45,28.6,100.0,100.0,64.51,Review,Increase image resolution; Improve lighting
B001GY0NPG_img04.jpg,B001GY0NPG,354,354,0.125,354,1.0,106.23,Acceptable,68.64,Acceptable,4170.07,No,Low Resolution,29.45,94.2,100.0,100.0,80.91,Pass,Increase image resolution
B001GY0NPG_img05.jpg,B001GY0NPG,354,354,0.125,354,1.0,102.1,Acceptable,56.63,Acceptable,914.12,No,Low Resolution,29.45,87.85,100.0,100.0,79.32,Review,Increase image resolution
B001GY0NPG_img06.jpg,B001GY0NPG,354,354,0.125,354,1.0,181.09,Acceptable,38.95,Acceptable,679.83,No,Low Resolution,29.45,100.0,100.0,100.0,82.36,Pass,Increase image resolution
B00GZQYLOE_img01.jpg,B00GZQYLOE,999,1500,1.498,999,0.666,213.76,Acceptable,63.4,Acceptable,664.19,No,Moderate Resolution,99.91,100.0,100.0,100.0,99.98,Pass,Increase image resolution
B00GZQYLOE_img02.jpg,B00GZQYLOE,1500,1500,2.25,1500,1.0,146.27,Acceptable,46.77,Acceptable,364.16,No,High Resolution,100.0,100.0,100.0,82.3,94.69,Pass,No major issue detected
B00GZQYLOE_img03.jpg,B00GZQYLOE,1500,1500,2.25,1500,1.0,124.84,Acceptable,62.82,Acceptable,1363.16,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B00GZQYLOE_img04.jpg,B00GZQYLOE,1500,1500,2.25,1500,1.0,174.91,Acceptable,70.42,Acceptable,1716.46,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B00GZQYLOE_img05.jpg,B00GZQYLOE,1500,1500,2.25,1500,1.0,142.8,Acceptable,43.21,Acceptable,506.71,No,High Resolution,100.0,100.0,100.0,94.01,98.2,Pass,No major issue detected
B00GZQYLOE_img06.jpg,B00GZQYLOE,1420,1500,2.13,1420,0.947,174.56,Acceptable,70.7,Acceptable,1682.18,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B01J8JMFKG_img01.jpg,B01J8JMFKG,1224,1500,1.836,1224,0.816,212.57,Acceptable,63.32,Acceptable,671.07,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B01J8JMFKG_img02.jpg,B01J8JMFKG,1500,1500,2.25,1500,1.0,133.56,Acceptable,71.54,Acceptable,676.88,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B01J8JMFKG_img03.jpg,B01J8JMFKG,1500,1500,2.25,1500,1.0,155.56,Acceptable,65.13,Acceptable,699.5,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B01J8JMFKG_img04.jpg,B01J8JMFKG,1500,1500,2.25,1500,1.0,124.02,Acceptable,50.99,Acceptable,594.98,No,High Resolution,100.0,100.0,100.0,99.7,99.91,Pass,No major issue detected
B01J8JMFKG_img05.jpg,B01J8JMFKG,1500,1500,2.25,1500,1.0,165.23,Acceptable,78.79,Acceptable,479.83,No,High Resolution,100.0,100.0,100.0,92.08,97.62,Pass,No major issue detected
B01J8JMFKG_img06.jpg,B01J8JMFKG,1500,1500,2.25,1500,1.0,116.56,Acceptable,68.42,Acceptable,1063.53,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B01K4SH5JW_img01.jpg,B01K4SH5JW,3000,1200,3.6,1200,2.5,114.12,Acceptable,41.11,Acceptable,278.87,No,High Resolution,100.0,100.0,100.0,72.85,91.86,Pass,No major issue detected
B01K4SH5JW_img02.jpg,B01K4SH5JW,3000,1200,3.6,1200,2.5,148.51,Acceptable,37.33,Acceptable,685.0,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B01K4SH5JW_img03.jpg,B01K4SH5JW,3000,1200,3.6,1200,2.5,134.78,Acceptable,31.82,Acceptable,372.17,No,High Resolution,100.0,100.0,87.28,83.07,92.38,Pass,No major issue detected
B01K4SH5JW_img04.jpg,B01K4SH5JW,3000,1200,3.6,1200,2.5,120.62,Acceptable,33.75,Acceptable,442.23,No,High Resolution,100.0,100.0,95.01,89.18,95.76,Pass,No major issue detected
B01K4SH5JW_img05.jpg,B01K4SH5JW,3000,1200,3.6,1200,2.5,17.33,Too Dark,34.8,Acceptable,610.81,No,High Resolution,100.0,0.0,99.19,100.0,74.84,Review,Improve lighting
B01K4SH5JW_img06.jpg,B01K4SH5JW,3000,600,1.8,600,5.0,104.1,Acceptable,29.77,Acceptable,542.64,No,Moderate Resolution,64.0,90.92,79.08,96.44,83.48,Pass,Increase image resolution
B07TGDFPBN_img01.jpg,B07TGDFPBN,1054,1414,1.49,1054,0.745,222.33,Acceptable,55.9,Acceptable,541.04,No,High Resolution,100.0,100.0,100.0,96.33,98.9,Pass,No major issue detected
B07TGDFPBN_img02.jpg,B07TGDFPBN,1254,1254,1.573,1254,1.0,168.4,Acceptable,70.66,Acceptable,766.77,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B07TGDFPBN_img03.jpg,B07TGDFPBN,1254,1254,1.573,1254,1.0,181.14,Acceptable,65.59,Acceptable,1137.76,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B07TGDFPBN_img04.jpg,B07TGDFPBN,1254,1254,1.573,1254,1.0,140.6,Acceptable,84.67,Acceptable,989.28,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B07TGDFPBN_img05.jpg,B07TGDFPBN,1254,1254,1.573,1254,1.0,174.97,Acceptable,65.56,Acceptable,949.39,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B07TGDFPBN_img06.jpg,B07TGDFPBN,1254,1254,1.573,1254,1.0,153.3,Acceptable,78.5,Acceptable,866.09,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B0CXDZJLVC_coat_defense_img01.png,B0CXDZJLVC,1200,1200,1.44,1200,1.0,244.49,Overexposed,37.94,Acceptable,246.1,No,High Resolution,100.0,22.05,100.0,68.43,71.04,Review,Reduce overexposure
B0CXDZJLVC_coat_defense_img02.jpg,B0CXDZJLVC,1200,1200,1.44,1200,1.0,212.07,Acceptable,57.44,Acceptable,679.75,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B0CXDZJLVC_coat_defense_img03.jpg,B0CXDZJLVC,800,800,0.64,800,1.0,222.99,Acceptable,55.47,Acceptable,962.19,No,Moderate Resolution,82.0,100.0,100.0,100.0,95.5,Pass,Increase image resolution
B0CXDZJLVC_coat_defense_img04.jpg,B0CXDZJLVC,1200,1200,1.44,1200,1.0,204.72,Acceptable,63.03,Acceptable,707.98,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B0CXDZJLVC_coat_defense_img05.jpg,B0CXDZJLVC,1200,1200,1.44,1200,1.0,189.43,Acceptable,50.43,Acceptable,1049.42,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
B0CXDZJLVC_coat_defense_img06.jpg,B0CXDZJLVC,1200,1101,1.321,1101,1.09,153.26,Acceptable,55.66,Acceptable,616.22,No,High Resolution,100.0,100.0,100.0,100.0,100.0,Pass,No major issue detected
